item_id,url,name,brand,price,final_price,estimated_retail_price,currency,model,model_no,gender,year,condition,images,description,box,papers,case_size,case_material,case_shape,dial_color,movement,band_color,bracelet_material,water_resistance,details,fetch_date
230008,https://www.watchfinder.co.uk/Rolex/Explorer%20II/16570/1780/item/230008,Explorer II,Rolex,"8,650","8,650",,£,Explorer II,16570,,Approx. 1996,,"['https://images.watchfinder.co.uk/imgv2/stock/230008/Rolex-ExplorerII-16570-230008-5-221228-150112.jpg;quality=85;w=188;h=240', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,No,No,,,,,,,,,,2023-05-17 23:12:18
229582,https://www.watchfinder.co.uk/Chopard/Mille%20Miglia/168992-3022/33258/item/229582,Mille Miglia,Chopard,"2,420","2,420",,£,Mille Miglia,168992-3022,,Approx. 2016,,"['https://images.watchfinder.co.uk/imgv3/stock/229582/Chopard-MilleMiglia-168992-3022-229582-230503-111707.jpg;quality=85;w=188;h=240', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,No,No,,,,,,,,,,2023-05-17 23:12:18
236943,https://www.watchfinder.co.uk/Piaget/Polo/G0A34002/22887/item/236943,Polo,Piaget,"9,750","9,750",,£,Polo,G0A34002,,2010,,"['https://images.watchfinder.co.uk/imgv3/stock/236943/Piaget-Polo-G0A34002-236943-230503-120146.jpg;quality=85;w=188;h=240', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:18
235497,https://www.watchfinder.co.uk/Zenith/Pilot/29.2430.679/21.C753/29590/item/235497,Pilot,Zenith,"3,990","3,990",,£,Pilot,29.2430.679/21.C753,,2016,,"['https://images.watchfinder.co.uk/imgv3/stock/235497/Zenith-Pilot-29.2430.67921.C753-235497-230503-114933.jpg;quality=85;w=188;h=240', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:18
235073,https://www.watchfinder.co.uk/Tag%20Heuer/Formula%201/CAH7010.BT0717/15235/item/235073,Formula 1,Tag Heuer,"1,250","1,250",,£,Formula 1,CAH7010.BT0717,,2007,,"['https://images.watchfinder.co.uk/imgv3/stock/235073/TagHeuer-Formula1-CAH7010.BA0854-235073-230503-114136.jpg;quality=85;w=188;h=240', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:18
241066,https://www.watchfinder.co.uk/Cartier/Calibre%20De%20Cartier/W7100042/28032/item/241066,Calibre De Cartier,Cartier,"8,720","8,720",,£,Calibre De Cartier,W7100042,,2014,,"['https://images.watchfinder.co.uk/imgv3/stock/241066/Cartier-CalibreDeCartier-W7100042-241066-230504-112059.jpg;quality=85;w=188;h=240', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:18
218383,https://www.watchfinder.co.uk/Panerai/Radiomir%201940/PAM00627/32067/item/218383,Radiomir 1940,Panerai,"8,570","8,570",,£,Radiomir 1940,PAM00627,,2016,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:19
242885,https://www.watchfinder.co.uk/IWC/Pilot%E2%80%99s%20Le%20Petit%20Prince/IW377714/35065/item/242885,Pilot’s Le Petit Prince,IWC,"4,150","4,150",,£,Pilot’s Le Petit Prince,IW377714,,2019,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:19
241889,https://www.watchfinder.co.uk/Oris/Williams%20F1%20Team%20Chronograph/774%207717%2041%2084%20MB/50532/item/241889,Williams F1 Team Chronograph,Oris,850,850,,£,Williams F1 Team Chronograph,774 7717 41 84 MB,,Approx. 2020,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,No,,,,,,,,,,2023-05-17 23:12:19
232995,https://www.watchfinder.co.uk/Omega/Constellation/1510.30.00/1378/item/232995,Constellation,Omega,950,950,,£,Constellation,1510.30.00,,Approx. 1994,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,No,No,,,,,,,,,,2023-05-17 23:12:19
242349,https://www.watchfinder.co.uk/IWC/Pilot%E2%80%99s%20Chrono/IW389101/43074/item/242349,Pilot’s Chrono,IWC,"7,275","7,275",,£,Pilot’s Chrono,IW389101,,2021,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:19
247591,https://www.watchfinder.co.uk/Breitling/Avenger%20Chronograph%2045/A13317/58585/item/247591,Avenger Chronograph 45,Breitling,"4,150","4,150",,£,Avenger Chronograph 45,A13317,,2021,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:19
247919,https://www.watchfinder.co.uk/Omega/Speedmaster%20Moonwatch%20Professional/310.30.42.50.01.002/49916/item/247919,Speedmaster Moonwatch Professional,Omega,"6,350","6,350",,£,Speedmaster Moonwatch Professional,310.30.42.50.01.002,,2022,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:19
247384,https://www.watchfinder.co.uk/Tudor/Royal/M28600-0003/49528/item/247384,Royal,Tudor,"2,065","2,065",,£,Royal,M28600-0003,,2020,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:19
247308,https://www.watchfinder.co.uk/Breitling/Avenger%20Automatic%2043/A32397/58567/item/247308,Avenger Automatic 43,Breitling,"3,750","3,750",,£,Avenger Automatic 43,A32397,,2021,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:19
246315,https://www.watchfinder.co.uk/Rolex/Datejust%20Lady/79173/4/item/246315,Datejust Lady,Rolex,"5,650","5,650",,£,Datejust Lady,79173,,2000,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,No,Yes,,,,,,,,,,2023-05-17 23:12:19
227138,https://www.watchfinder.co.uk/Rolex/Daytona/116508/37163/item/227138,Daytona,Rolex,"65,740","65,740",,£,Daytona,116508,,2022,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:19
248346,https://www.watchfinder.co.uk/Rolex/Submariner/116613%20LB/14582/item/248346,Submariner,Rolex,"12,910","12,910",,£,Submariner,116613 LB,,Approx. 2010,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,No,,,,,,,,,,2023-05-17 23:12:20
247532,https://www.watchfinder.co.uk/Rolex/Datejust%2041/126334/36009/item/247532,Datejust 41,Rolex,"11,940","11,940",,£,Datejust 41,126334,,2021,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:20
208701,https://www.watchfinder.co.uk/Panerai/Radiomir%20Manual/PAM00292/6299/item/208701,Radiomir Manual,Panerai,"4,860","4,860",,£,Radiomir Manual,PAM00292,,2009,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:20
246441,https://www.watchfinder.co.uk/Hublot/Big%20Bang/301.SB.131.RX/4215/item/246441,Big Bang,Hublot,"6,640","6,640",,£,Big Bang,301.SB.131.RX,,Approx. 2012,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,No,No,,,,,,,,,,2023-05-17 23:12:20
247712,https://www.watchfinder.co.uk/Tudor/Pelagos/M25407N-0001/56765/item/247712,Pelagos,Tudor,"4,750","4,750",,£,Pelagos,M25407N-0001,,2022,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:20
241342,https://www.watchfinder.co.uk/Rolex/Submariner/126610%20LN/48226/item/241342,Submariner,Rolex,"13,750","13,750",,£,Submariner,126610 LN,,2022,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:20
247242,https://www.watchfinder.co.uk/Rolex/Datejust%20Lady/69178/5410/item/247242,Datejust Lady,Rolex,"8,505","8,505",,£,Datejust Lady,69178,,1996,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:20
193041,https://www.watchfinder.co.uk/Tudor/Prince%20Date/79260P/46706/item/193041,Prince Date,Tudor,"5,975","5,975",,£,Prince Date,79260P,,Approx. 2002,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,No,,,,,,,,,,2023-05-17 23:12:20
232443,https://www.watchfinder.co.uk/Rolex/Daytona/116523/21768/item/232443,Daytona,Rolex,"21,750","21,750",,£,Daytona,116523,,2016,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:20
194856,https://www.watchfinder.co.uk/Rolex/Oyster%20Perpetual%20Date/15203/55053/item/194856,Oyster Perpetual Date,Rolex,"5,900","5,900",,£,Oyster Perpetual Date,15203,,Approx. 1992,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,No,No,,,,,,,,,,2023-05-17 23:12:20
248097,https://www.watchfinder.co.uk/Tag%20Heuer/Formula%201%20Sparkling/WAH1312.BA0867/23394/item/248097,Formula 1 Sparkling,Tag Heuer,"1,750","1,750",,£,Formula 1 Sparkling,WAH1312.BA0867,,2018,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:20
245664,https://www.watchfinder.co.uk/Cartier/Tank%20Francaise/W51007Q4/300/item/245664,Tank Francaise,Cartier,"3,275","3,275",,£,Tank Francaise,W51007Q4,,2012,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:21
246458,https://www.watchfinder.co.uk/Omega/Seamaster%20300m%20Mid-Size/2561.80.00/7941/item/246458,Seamaster 300m Mid-Size,Omega,"1,850","1,850",,£,Seamaster 300m Mid-Size,2561.80.00,,Approx. 2000,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,No,No,,,,,,,,,,2023-05-17 23:12:21
234753,https://www.watchfinder.co.uk/Breitling/SuperOcean%20Heritage/A13320/9361/item/234753,SuperOcean Heritage,Breitling,"4,140","4,140",,£,SuperOcean Heritage,A13320,,2015,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:21
246954,https://www.watchfinder.co.uk/Omega/Speedmaster%20Moonwatch%20Professional/310.30.42.50.01.001/50387/item/246954,Speedmaster Moonwatch Professional,Omega,"5,750","5,750",,£,Speedmaster Moonwatch Professional,310.30.42.50.01.001,,2021,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:21
248209,https://www.watchfinder.co.uk/Omega/Seamaster%20Diver%20300m/210.32.42.20.10.001/55918/item/248209,Seamaster Diver 300m,Omega,"4,775","4,775",,£,Seamaster Diver 300m,210.32.42.20.10.001,,2023,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:21
246737,https://www.watchfinder.co.uk/Omega/Seamaster%20300m/212.30.36.20.01.002/22500/item/246737,Seamaster 300m,Omega,"3,495","3,495",,£,Seamaster 300m,212.30.36.20.01.002,,2018,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:21
246325,https://www.watchfinder.co.uk/Omega/Speedmaster%20Moonwatch/3570.50.00/1287/item/246325,Speedmaster Moonwatch,Omega,"4,470","4,470",,£,Speedmaster Moonwatch,3570.50.00,,2002,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,No,Yes,,,,,,,,,,2023-05-17 23:12:21
247540,https://www.watchfinder.co.uk/Rolex/Datejust%2041/126300/35866/item/247540,Datejust 41,Rolex,"9,455","9,455",,£,Datejust 41,126300,,2021,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,No,Yes,,,,,,,,,,2023-05-17 23:12:21
246819,https://www.watchfinder.co.uk/Rolex/Deepsea/126660%20-%20D-Blue/35643/item/246819,Deepsea,Rolex,"14,750","14,750",,£,Deepsea,126660 - D-Blue,,2018,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,No,Yes,,,,,,,,,,2023-05-17 23:12:21
248265,https://www.watchfinder.co.uk/Rolex/Datejust/126200/39503/item/248265,Datejust,Rolex,"8,160","8,160",,£,Datejust,126200,,2022,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:21
248487,https://www.watchfinder.co.uk/Rolex/Explorer%20II/226570/50706/item/248487,Explorer II,Rolex,"11,250","11,250",,£,Explorer II,226570,,2023,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,No,Yes,,,,,,,,,,2023-05-17 23:12:22
247496,https://www.watchfinder.co.uk/Omega/Seamaster%20300m/2264.50.00/1139/item/247496,Seamaster 300m,Omega,"2,450","2,450",,£,Seamaster 300m,2264.50.00,,Approx. 1999,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,No,No,,,,,,,,,,2023-05-17 23:12:22
